day,pressure ,maxtemp,temparature,mintemp,humidity ,rainfall
19,1020.3,16.3,15.3,14.6,88,yes
20,1023.2,20.1,16,12.5,67,yes
21,1022.2,15.9,15,14.7,77,yes
22,1020.6,17.6,16.1,14.6,91,yes
23,1022.3,16.7,15.5,13.7,92,yes
24,1027.5,15.5,13.7,12.3,78,yes
25,1028.9,16.8,14.8,13.5,76,no
26,1027.4,17.6,15.2,14,79,yes
27,1024.7,17.5,15.5,13.8,79,yes
28,1023.8,20.9,16.6,13.3,72,no
29,1024.4,24.8,18.5,14.4,61,no
1,1024.7,19.7,16.5,14.6,73,no
2,1023.8,20.6,16.6,14.4,72,no
3,1020.9,23.8,18.7,15.4,75,no
4,1018.1,23.2,20.2,18.1,82,no
5,1016.7,23.1,20.8,19.2,79,yes
6,1015.8,25.9,21.8,19.2,79,no
7,1014.9,21.3,19.7,18.9,91,yes
8,1012.5,21.5,20.1,18.9,93,no
9,1012.5,22.9,20.8,17.1,95,yes
10,1019.5,17.2,13.4,10,93,yes
11,1022.6,14.3,11.9,10,77,yes
12,1017.7,14.5,13.6,12.7,87,yes
13,1014.5,17,15.8,14.4,96,yes
14,1018,16.5,15.3,14.2,83,yes
15,1017.1,15.5,14.8,14,79,yes
16,1015,16.3,15.3,14.1,90,yes
17,1014.3,17.4,16.5,15.6,97,yes
18,1012,21.9,19.5,17.2,97,yes
19,1013,24.9,22.4,20.3,94,yes
20,1014.7,23.1,19,17.6,91,yes
21,1014.8,18.2,17.1,16.4,95,yes
22,1013.4,17.3,16.6,15.9,96,yes
23,1012.8,20.6,18.4,17.1,97,yes
24,1020.2,17.7,15.3,12.7,98,yes
25,1023.9,15.7,13.7,11.6,75,yes
26,1023.6,20.2,15.8,12.6,68,no
27,1024.1,22.4,17.3,14.6,58,no
28,1024.1,19.9,16.9,15.2,65,no
29,1021.4,19.4,17.7,15.7,59,yes
30,1018.3,22.2,20,18.4,79,yes
31,1015.3,25.5,21.5,19.1,86,no
1,1014.5,25.3,21.9,19.9,86,no
2,1015.6,23.8,21.3,19.8,90,yes
3,1014.6,26.5,23,21,87,no
4,1012.5,28.1,23.6,20.7,88,yes
5,1013.3,24.4,22.3,20.7,91,yes
6,1013.3,26.5,23.1,21.5,91,no
7,1013.2,26.9,23.9,22.4,91,no
8,1013.3,27.9,25.3,23.2,87,yes
9,1011.6,27.5,25.7,24.4,86,yes
10,1009.2,26.3,23.3,21.3,92,yes
11,1010.1,22.8,21.5,20.1,91,yes
12,1009.1,21.3,20.3,19.9,94,yes
13,1005.5,25.1,21.8,20.9,98,yes
14,1008.5,25.2,23.1,21.6,98,yes
15,1011.4,23.5,21.1,20.6,97,yes
16,1010.5,28.1,24.7,20.6,89,yes
17,1010.9,27.5,25.9,24.1,90,yes
18,1014.4,26.7,23.1,20.1,87,yes
19,1017.4,21.8,20.5,20.1,86,yes
20,1014.6,22.9,21.6,20.2,88,yes
21,1012.5,28.4,24.6,22,87,yes
22,1010.7,26.1,23.7,21,90,yes
23,1008.2,27.7,24.9,22.6,88,yes
24,1008.7,26.1,24.4,23.2,93,yes
25,1009.8,28.4,26,23.9,90,yes
26,1009.5,28.5,27.2,26,86,yes
27,1008.2,29.1,26.8,25.4,85,yes
28,1010.4,28.2,26,24.7,84,yes
29,1013.9,26.3,24.1,22.9,76,yes
30,1012.2,23.4,22.5,20.8,80,yes
1,1011.5,23.4,22.2,20.4,92,yes
2,1011,29.8,25.6,22.8,89,yes
3,1011.4,30.8,26.5,22.8,86,yes
4,1011.4,28.2,25.8,23.2,87,yes
5,1010.5,30.9,28.1,26.2,84,no
6,1009.9,30.5,28.4,27.2,83,no
7,1010.6,31,28.7,27.1,81,no
8,1011.4,31.2,28.7,27.3,82,no
9,1010.1,30.6,28.7,26.9,81,no
10,1008.1,28.4,26.6,23.7,87,yes
11,1008.6,28.8,25.5,23.4,75,no
12,1009.8,27.6,25.1,23.7,80,yes
13,1012.4,27.8,25.5,24.4,82,yes
14,1014.2,27.7,25.4,24,89,yes
15,1012.1,29.8,26.6,24.4,85,yes
16,1011.2,27.1,24.8,22.5,73,yes
17,1012.3,24.6,23.7,23.2,80,yes
18,1012,26.3,24.5,23.4,76,no
19,1009.9,28.1,25.5,24,84,yes
20,1006.9,26.2,25.2,24.3,94,yes
21,1005.9,28.3,26.5,24.7,88,yes
22,1007.8,30.8,27.2,25.3,77,no
23,1008.4,28.9,26.8,24.8,81,yes
24,1007.9,30.7,27.5,25.4,82,yes
25,1007.8,30.9,28,26.2,82,yes
26,1007.6,29.5,27.6,26.7,85,yes
27,1006.4,29.1,27.5,26,89,yes
28,1007.6,30.3,27.7,24.5,89,yes
29,1007.9,31,29.1,27.2,84,yes
30,1008.8,32.1,29.8,28,80,yes
31,1009.5,31.8,29.9,28.7,79,no
1,1007.8,32.8,30.1,28.6,80,no
2,1006,33,30.3,28.7,79,no
3,1006.5,32.4,30.3,29,80,yes
4,1007.9,33.8,28.7,24.7,83,yes
5,1008.8,30.4,26.9,25,86,yes
6,1008.8,29.1,26.2,24.8,91,yes
7,1008.1,30.7,28.1,26.3,86,yes
8,1006.3,30,27.1,24.1,89,yes
9,1005.7,31.7,28.2,26.6,86,yes
10,1005.7,31.1,27.9,26.6,89,yes
11,1005.9,27.8,26.6,25.4,93,yes
12,1005.7,29.2,27.1,25.4,93,yes
13,1005,31.5,29.7,28.5,84,yes
14,1004.2,31.7,30.2,29.2,81,yes
15,1005.3,32,30.3,29.3,79,yes
16,1006.7,31.4,29.4,28.2,82,yes
17,1008.2,32.1,29.4,26.7,82,yes
18,1010.5,30.8,29.3,27.7,83,yes
19,1010.3,34.2,30.1,27.8,80,no
20,1008.5,34.4,30.8,28.6,78,yes
21,1009.3,33.7,30.6,28.7,75,no
22,1009.5,33.7,30.5,28.5,75,no
23,1008.4,34.1,30.4,28.4,72,no
24,1008.1,35.2,31,28.8,72,no
25,1008.9,35.5,31.4,28.9,74,no
26,1009.1,35.1,31.3,29.4,75,yes
27,1007.5,35.1,31.1,28.6,78,yes
28,1007.5,32.3,29.1,26.3,85,yes
29,1010,33.3,29,27.5,87,yes
30,1010.3,33.1,30,27.8,80,yes
1,1008.9,33,30.1,27.7,79,yes
2,1009.1,32,29.4,26.9,82,yes
3,1008.7,31.5,29.4,27.3,82,yes
4,1006.6,33,30.1,28,78,yes
5,1007.5,32.6,29,25.8,87,yes
6,1008.4,28.8,27.3,24.7,93,yes
7,1005.9,34,30.2,27.9,77,yes
8,1001,34.2,31,28.1,75,no
9,999,35.6,31.5,26.4,75,yes
10,1000.3,31.3,28.6,26.2,81,yes
11,1002.2,31.1,28.9,26.1,85,yes
12,1003.8,29,28.1,27,84,yes
13,1005,31.7,28.6,25.6,87,yes
14,1006.8,30.3,28.9,26.4,86,yes
15,1007,33,30.2,28.6,81,yes
16,1008.1,33.2,30.6,29,79,yes
17,1008.5,33.2,30.6,29,78,no
18,1007.5,32.4,30.4,28.7,74,yes
19,1007.9,32.3,29.9,26.7,79,yes
20,1009.8,31.9,29.2,25.6,82,yes
21,1010.9,33.3,30,27.5,76,yes
22,1010.3,32.9,30,28.1,76,no
23,1008.9,32.8,30,28,77,no
24,1008.4,34,30.4,28,72,no
25,1008.6,35,30.8,28.3,74,no
26,1008.3,32,29.4,27,84,yes
27,1009.3,33.4,30.2,28,76,yes
28,1009.7,32.9,30.1,28.1,74,no
29,1008.5,33.7,30.3,27.6,74,no
30,1006.6,33.5,29.9,28.7,74,yes
31,1005.1,33.9,30.1,27,74,yes
1,1011.2,32.2,28.9,26.9,78,no
2,1011.6,32.3,28.9,26.8,78,no
3,1010.6,33.3,29.5,27.3,75,no
4,1008.3,33.3,29.4,26.8,74,no
5,1006.1,33.3,29.6,27.6,74,no
6,1005.3,33.1,30.1,27.8,72,no
7,1003.4,33.3,30.7,28.2,72,no
8,998.5,36.3,32.4,30,62,no
9,998.5,34.7,31,26.9,71,yes
10,1004.5,30.6,28.1,25.1,85,yes
11,1007.3,32.8,29.2,26.3,81,yes
12,1007.9,33.7,30,27.8,79,yes
13,1007.9,29.6,28,26.4,87,yes
14,1007.4,28.8,26.9,25.6,90,yes
15,1008.5,28.6,27,24.9,89,yes
16,1008.5,31.2,29.2,26.9,86,yes
17,1008.2,32.4,29.9,28.3,83,yes
18,1008,33.8,30.2,28.4,78,yes
19,1007.7,32.8,30.1,28.1,77,no
20,1006.3,31.2,29.1,26.8,84,yes
21,1002.2,33.4,30,26.9,77,no
22,1000.1,32,30.2,28.4,71,yes
23,1000,32.9,30.6,28,69,yes
24,1002.4,33.2,30.7,28.3,70,no
25,1005.5,34.4,30.6,27.9,65,no
26,1008.1,31.7,28.9,27.8,81,yes
27,1008.1,32.4,29,27,79,no
28,1006.5,31.2,28.3,26.9,79,yes
29,1006.2,29.6,27.8,26.5,84,yes
30,1006.8,27.9,26.6,25.8,92,yes
31,1007.4,29,27.4,25.8,87,yes
1,1007.8,28.9,27.4,25.7,89,yes
2,1010.9,27.7,25.8,24.5,94,yes
3,1013,29,27.6,25.8,90,yes
4,1013.1,32.9,29.1,27,82,no
5,1011.1,31.9,29.3,27.2,78,no
6,1008.1,32.3,29.6,27.8,79,no
7,1007.2,29.6,28.3,26.7,87,yes
8,1009.4,30.7,27.9,26.4,75,no
9,1012,31.2,28.2,26.5,74,yes
10,1012.7,31.3,28.1,26.5,75,no
11,1011.1,31,28.1,26.8,77,yes
12,1011.5,30.5,27.9,26.2,76,yes
13,1013,31.2,28,25.8,68,no
14,1012.2,31.4,28,25.9,71,no
15,1011.3,31.9,28.6,26.5,73,no
16,1011.9,31,28.1,26.9,81,yes
17,1014.6,30.6,28.2,27.1,79,yes
18,1015,31.8,28.5,26.8,77,yes
19,1012.2,30.6,28.3,26.8,79,no
20,1009.3,31.1,28.7,27.1,78,yes
21,1008.6,28.7,27.4,25.5,81,yes
22,1009.9,31,28.1,26.3,86,yes
23,1009.1,32,28.9,27.3,81,yes
24,1006.7,32,29.3,27.4,77,no
25,1004.9,32.2,29.7,28.1,78,no
26,1006.7,32.2,28.7,26.9,87,yes
27,1008.2,30.2,27.8,26.5,85,yes
28,1006.7,32.8,29,25.8,61,no
29,1005.6,31.3,29.7,27.4,56,no
30,1011,32.7,29.8,28.2,75,yes
1,1013,31.7,28.8,26.4,81,yes
2,1012.4,31.6,27.9,26.5,76,yes
3,1011.7,29.7,26.8,24.2,83,yes
4,1013.2,27.8,26.7,24.9,92,yes
5,1015.2,27.8,26.7,25.4,93,yes
6,1014.1,26.8,26,25.3,97,yes
7,1012.7,27.6,26.4,25,92,yes
8,1010.5,30,27.8,26.1,76,no
9,1011.3,29.4,26.8,24.8,70,yes
10,1013.7,26.6,24.3,21.1,77,yes
11,1018,22.1,20.5,18.5,78,yes
12,1019,24.9,23.1,21,67,yes
13,1018.7,27.8,25.1,23.3,70,yes
14,1017.4,28.2,25,23.1,75,no
15,1015.2,28.7,25.2,23.1,76,no
16,1013.8,29.4,25.8,23.3,73,no
17,1013.4,30.8,26.2,23.6,69,no
18,1012.5,29.1,25.5,23.5,70,no
19,1010.2,28.2,25.3,23.1,59,no
20,1008.3,29.1,26.2,23.8,58,no
21,1010.2,29.2,26.4,24.3,65,yes
22,1012,30.6,27,25.3,70,no
23,1013,30.7,27,24.8,73,no
24,1015,29.6,26.8,24.9,76,yes
25,1016.8,26.6,25.9,25.4,77,yes
26,1016.8,26.2,25.4,24.5,83,yes
27,1015.6,30.1,26.5,24.3,77,no
28,1017,29.2,26.7,25.5,82,yes
29,1018.2,28.4,26.4,25.5,81,yes
30,1017.8,29.6,26.7,25.3,81,no
31,1020.4,27.2,25.6,24.4,79,yes
1,1020.9,24.5,22.9,20.5,73,no
2,1019.8,26,22.6,19.7,67,yes
3,1019.5,25.8,23.7,22.3,74,yes
4,1018.1,26.6,24.7,23.1,77,yes
5,1016.1,28.2,25.8,24.5,80,yes
6,1015.6,26.3,25.5,24.7,83,yes
7,1016.3,28.4,26.2,25.2,85,yes
8,1016.4,28.7,26.5,25.5,84,yes
9,1015.8,30.3,26.7,24.8,82,yes
10,1016.9,25.9,24.9,24,81,yes
11,1017.7,25.4,23.8,22.6,82,yes
12,1017.3,24.2,23.9,23.6,84,yes
13,1015.2,25.3,23.3,21,92,yes
14,1014.5,26.9,24.3,22.3,83,yes
15,1015.2,24.8,24.2,23.5,89,yes
16,1013.7,25.9,24.8,23.6,93,yes
17,1013.9,27.2,25.5,24.4,90,no
18,1016,29.1,26.1,24.1,84,no
19,1017,28.5,25.9,24.5,84,yes
20,1017.2,25.9,24.8,24.4,82,yes
21,1017,26,24.8,23.9,80,no
22,1017.1,27.6,25.4,24,78,yes
23,1016.7,28.4,25.4,23.7,78,no
24,1016.7,26.6,24.5,23.3,76,yes
25,1017.7,25.3,22.6,18.2,70,no
26,1020.6,21.2,18.2,15.8,52,no
27,1022.4,20.4,18.4,15.3,57,no
28,1022.5,22.9,20.8,19.2,70,no
29,1021.2,24.1,22.1,20.3,75,no
30,1018.9,25.2,22.4,20.4,75,yes
1,1017.6,25.1,22.9,22,79,no
2,1017.1,25,23.3,22.2,80,yes
3,1019.4,22.3,20.8,19.6,77,yes
4,1021.1,21,19.5,18.4,75,yes
5,1018.4,20.3,18.4,15.7,85,yes
6,1021.3,18.1,16.6,15.4,76,yes
7,1023.1,19.3,17.3,15.4,72,no
8,1022.2,19,18,17,78,yes
9,1016.8,18.9,17.7,16.9,95,yes
10,1015.5,20.9,19.3,17.6,86,yes
11,1016.4,23,19.9,17.9,76,no
12,1016.2,20.7,20,19.4,83,no
13,1016.4,21,20.4,19.7,85,yes
14,1016.6,21.3,20.4,19.1,82,yes
15,1019,20.4,18.4,16,69,yes
16,1022.5,17.2,15.2,13.4,49,no
17,1025.9,15.2,13.2,11.5,39,no
18,1026.4,16.5,13.9,11.3,48,no
19,1025.4,18.2,16.2,13.8,62,no
20,1022.5,18.6,17.6,17,75,yes
21,1021.3,21.1,19.4,17.1,82,yes
22,1020.3,20.6,19.9,18.7,87,yes
23,1017.8,22.3,21.1,19.8,91,yes
24,1016.8,24.7,22.3,21.1,91,yes
25,1020.4,21.4,18.2,16.1,75,yes
26,1020.6,19.7,17.9,16.9,74,no
27,1022.7,18.8,17.7,16.9,84,yes
28,1026.6,18.6,17.3,16.3,75,yes
29,1025.9,18.9,17.7,16.4,75,yes
30,1025.3,19.2,17.3,15.2,78,yes
31,1026.4,20.5,17.8,15.5,74,no
